tourney_date,tourney_id,tourney_name,surface,draw_size,tourney_level,match_num,score,best_of,round,minutes,player_1,player_2,player_1_age,player_2_age,player_1_entry,player_2_entry,player_1_hand,player_2_hand,player_1_ht,player_2_ht,player_1_id,player_2_id,player_1_ioc,player_2_ioc,player_1_name,player_2_name,player_1_rank,player_2_rank,player_1_rank_points,player_2_rank_points,player_1_seed,player_2_seed,player_1_aces,player_2_aces,player_1_double_faults,player_2_double_faults,player_1_service_points,player_2_service_points,player_1_first_serves_in,player_2_first_serves_in,player_1_first_serve_points_won,player_2_first_serve_points_won,player_1_second_serve_points_won,player_2_second_serve_points_won,player_1_service_game_total,player_2_service_game_total,player_1_break_points_saved,player_2_break_points_saved,player_1_break_points_faced,player_2_break_points_faced,winner,player_1_first_serve_%,player_2_first_serve_%,player_1_first_serve_win_%,player_2_first_serve_win_%,player_1_break_points_won,player_2_break_points_won,player_1_wins,surface_Carpet,surface_Clay,surface_Grass,surface_Hard,tourney_level_A,tourney_level_D,tourney_level_F,tourney_level_G,tourney_level_M,player_1_hand_L,player_1_hand_R,player_2_hand_L,player_2_hand_R,round_ER,round_F,round_QF,round_R128,round_R16,round_R32,round_R64,round_RR,round_SF,winner_rank,loser_rank,ht_diff,age_diff,rank_diff,rank_points_diff,no_upset,year
2001-10-22,2001-328,Basel,Carpet,32,A,26,3-6 6-3 7-6(5),3,QF,101.0,Andy Roddick,Roger Federer,19.1457905544,20.205338809,,,R,R,188.0,185.0,104053,103819,USA,SUI,Andy Roddick,Roger Federer,16.0,13.0,1610.0,1745.0,6.0,4.0,9.0,11.0,1.0,2.0,93.0,84.0,54.0,51.0,41.0,43.0,22.0,18.0,15.0,15.0,4.0,1.0,6.0,3.0,Roger Federer,0.5806451612903226,0.6071428571428571,0.7592592592592593,0.8431372549019608,2.0,2.0,False,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,13.0,16.0,3.0,-1.0595482545999992,3.0,-135.0,True,2001
2003-06-23,2003-540,Wimbledon,Grass,128,G,125,7-6(6) 6-3 6-3,5,SF,103.0,Andy Roddick,Roger Federer,20.8131416838,21.8726899384,,,R,R,188.0,185.0,104053,103819,USA,SUI,Andy Roddick,Roger Federer,6.0,5.0,2390.0,2580.0,5.0,4.0,4.0,17.0,0.0,0.0,99.0,84.0,57.0,51.0,42.0,42.0,21.0,25.0,15.0,15.0,5.0,2.0,8.0,2.0,Roger Federer,0.5757575757575758,0.6071428571428571,0.7368421052631579,0.8235294117647058,0.0,3.0,False,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,5.0,6.0,3.0,-1.0595482545999992,1.0,-190.0,True,2003
2003-08-04,2003-421,Canada Masters,Hard,64,M,62,6-4 3-6 7-6(3),3,SF,116.0,Andy Roddick,Roger Federer,20.9281314168,21.9876796715,,,R,R,188.0,185.0,104053,103819,USA,SUI,Andy Roddick,Roger Federer,7.0,3.0,2630.0,3690.0,6.0,3.0,9.0,9.0,2.0,10.0,85.0,100.0,41.0,56.0,32.0,47.0,28.0,19.0,15.0,16.0,0.0,7.0,2.0,9.0,Andy Roddick,0.4823529411764706,0.56,0.7804878048780488,0.8392857142857143,2.0,2.0,True,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,7.0,3.0,3.0,-1.059548254700001,4.0,-1060.0,False,2003
2003-11-10,2003-605,Masters Cup,Hard,8,F,4,7-6(2) 6-2,3,SF,62.0,Andy Roddick,Roger Federer,21.196440794,22.2559890486,,,R,R,188.0,185.0,104053,103819,USA,SUI,Andy Roddick,Roger Federer,1.0,3.0,4335.0,3625.0,,,5.0,12.0,1.0,2.0,63.0,56.0,46.0,31.0,34.0,27.0,6.0,19.0,10.0,10.0,0.0,0.0,2.0,0.0,Roger Federer,0.7301587301587301,0.5535714285714286,0.7391304347826086,0.8709677419354839,0.0,2.0,False,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,3.0,1.0,3.0,-1.0595482545999992,-2.0,710.0,False,2003
2004-06-21,2004-540,Wimbledon,Grass,128,G,127,4-6 7-5 7-6(3) 6-4,5,F,151.0,Andy Roddick,Roger Federer,21.8097193703,22.8692676249,,,R,R,188.0,185.0,104053,103819,USA,SUI,Andy Roddick,Roger Federer,2.0,1.0,4695.0,5610.0,2.0,1.0,11.0,12.0,5.0,3.0,133.0,154.0,81.0,95.0,60.0,64.0,21.0,34.0,22.0,22.0,5.0,10.0,10.0,14.0,Roger Federer,0.6090225563909775,0.6168831168831169,0.7407407407407407,0.6736842105263158,4.0,5.0,False,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1.0,2.0,3.0,-1.0595482545999992,1.0,-915.0,True,2004
2004-07-26,2004-421,Canada Masters,Hard,64,M,63,7-5 6-3,3,F,85.0,Andy Roddick,Roger Federer,21.9055441478,22.9650924025,,,R,R,188.0,185.0,104053,103819,USA,SUI,Andy Roddick,Roger Federer,2.0,1.0,4945.0,5665.0,2.0,1.0,4.0,13.0,2.0,1.0,72.0,65.0,49.0,38.0,33.0,28.0,11.0,19.0,10.0,11.0,7.0,4.0,9.0,4.0,Roger Federer,0.6805555555555556,0.5846153846153846,0.673469387755102,0.7368421052631579,0.0,2.0,False,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1.0,2.0,3.0,-1.059548254700001,1.0,-720.0,True,2004
2005-06-20,2005-540,Wimbledon,Grass,128,G,127,6-2 7-6(2) 6-4,5,F,101.0,Andy Roddick,Roger Federer,22.8062970568,23.8658453114,,,R,R,188.0,185.0,104053,103819,USA,SUI,Andy Roddick,Roger Federer,4.0,1.0,3590.0,6980.0,2.0,1.0,7.0,12.0,1.0,0.0,96.0,79.0,68.0,49.0,46.0,40.0,11.0,22.0,15.0,15.0,5.0,1.0,9.0,2.0,Roger Federer,0.7083333333333334,0.620253164556962,0.6764705882352942,0.8163265306122449,1.0,4.0,False,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1.0,4.0,3.0,-1.0595482546000028,3.0,-3390.0,True,2005
2005-08-15,2005-422,Cincinnati Masters,Hard,64,M,63,6-3 7-5,3,F,75.0,Andy Roddick,Roger Federer,22.9596167009,24.0191649555,,,R,R,188.0,185.0,104053,103819,USA,SUI,Andy Roddick,Roger Federer,5.0,1.0,3130.0,6500.0,5.0,1.0,11.0,5.0,1.0,1.0,59.0,50.0,33.0,32.0,24.0,28.0,12.0,10.0,11.0,10.0,2.0,1.0,6.0,2.0,Roger Federer,0.559322033898305,0.64,0.7272727272727273,0.875,1.0,4.0,False,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1.0,5.0,3.0,-1.0595482545999992,4.0,-3370.0,True,2005
2006-08-28,2006-560,US Open,Hard,128,G,127,6-2 4-6 7-5 6-1,5,F,145.0,Andy Roddick,Roger Federer,23.9945242984,25.054072553,,,R,R,188.0,185.0,104053,103819,USA,SUI,Andy Roddick,Roger Federer,10.0,1.0,1890.0,7295.0,9.0,1.0,7.0,17.0,1.0,0.0,122.0,103.0,80.0,63.0,53.0,53.0,16.0,20.0,18.0,19.0,10.0,6.0,16.0,8.0,Roger Federer,0.6557377049180327,0.6116504854368932,0.6625,0.8412698412698413,2.0,6.0,False,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1.0,10.0,3.0,-1.0595482546000028,9.0,-5405.0,True,2006
2006-11-13,2006-605,Masters Cup,Hard,8,F,2,4-6 7-6(8) 6-4,3,RR,149.0,Andy Roddick,Roger Federer,24.205338809,25.2648870637,,,R,R,188.0,185.0,104053,103819,USA,SUI,Andy Roddick,Roger Federer,5.0,1.0,2315.0,7620.0,,,12.0,12.0,1.0,4.0,108.0,107.0,68.0,64.0,55.0,50.0,19.0,25.0,16.0,16.0,6.0,3.0,7.0,4.0,Roger Federer,0.6296296296296297,0.5981308411214953,0.8088235294117647,0.78125,1.0,1.0,False,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1.0,5.0,3.0,-1.059548254700001,4.0,-5305.0,True,2006
